,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
6152,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060),0.285306904,1,0,0,1.611863314,2.021582566,RPS27A;UBA52;PSMA7,3
6153,positive regulation of cellular component biogenesis (GO:0044089),0.285306904,1,0,0,1.611863314,2.021582566,TGFB1;FLOT1;RPS3,3
6154,organic hydroxy compound biosynthetic process (GO:1901617),0.285612604,1,0,0,1.891252955,2.369964859,SCP2;LBR,3
6155,establishment of protein localization to mitochondrion (GO:0072655),0.285612604,1,0,0,1.891252955,2.369964859,TIMM10B;FIS1,3
6156,peptidyl-threonine dephosphorylation (GO:0035970),0.289764635,1,0,0,2.955082742,3.660420477,DUSP1,3
6157,neural tube development (GO:0021915),0.289764635,1,0,0,2.955082742,3.660420477,TGFB1,3
6158,positive regulation of epithelial cell apoptotic process (GO:1904037),0.289764635,1,0,0,2.955082742,3.660420477,THBS1,3
6159,regulation of actin nucleation (GO:0051125),0.289764635,1,0,0,2.955082742,3.660420477,CORO1A,3
6160,dendritic cell chemotaxis (GO:0002407),0.289764635,1,0,0,2.955082742,3.660420477,CCR2,3
6161,positive regulation of secretion (GO:0051047),0.289764635,1,0,0,2.955082742,3.660420477,XBP1,3
6162,cellular response to dsRNA (GO:0071359),0.289764635,1,0,0,2.955082742,3.660420477,FLOT1,3
6163,DNA alkylation (GO:0006305),0.289764635,1,0,0,2.955082742,3.660420477,FOS,3
6164,phosphatidylinositol acyl-chain remodeling (GO:0036149),0.289764635,1,0,0,2.955082742,3.660420477,PLBD1,3
6165,hyaluronan catabolic process (GO:0030214),0.289764635,1,0,0,2.955082742,3.660420477,TGFB1,3
6166,regulation of RIG-I signaling pathway (GO:0039535),0.289764635,1,0,0,2.955082742,3.660420477,NOP53,3
6167,cardiac ventricle development (GO:0003231),0.289764635,1,0,0,2.955082742,3.660420477,HES1,3
6168,protein deacylation (GO:0035601),0.289764635,1,0,0,2.955082742,3.660420477,PPT1,3
6169,negative regulation of striated muscle cell differentiation (GO:0051154),0.289764635,1,0,0,2.955082742,3.660420477,XBP1,3
6170,positive regulation of mRNA processing (GO:0050685),0.289764635,1,0,0,2.955082742,3.660420477,HSPA1A,3
6171,positive regulation of lymphocyte differentiation (GO:0045621),0.289764635,1,0,0,2.955082742,3.660420477,XBP1,3
6172,regulation of bicellular tight junction assembly (GO:2000810),0.289764635,1,0,0,2.955082742,3.660420477,IKBKB,3
6173,extracellular matrix assembly (GO:0085029),0.289764635,1,0,0,2.955082742,3.660420477,TGFB1,3
6174,DNA methylation or demethylation (GO:0044728),0.289764635,1,0,0,2.955082742,3.660420477,FOS,3
6175,negative regulation of translational initiation (GO:0045947),0.289764635,1,0,0,2.955082742,3.660420477,EIF3E,3
6176,bone morphogenesis (GO:0060349),0.289764635,1,0,0,2.955082742,3.660420477,RARA,3
6177,regulation of SMAD protein import into nucleus (GO:0060390),0.289764635,1,0,0,2.955082742,3.660420477,TGFB1,3
6178,positive regulation of cyclic nucleotide metabolic process (GO:0030801),0.289764635,1,0,0,2.955082742,3.660420477,RAMP1,3
6179,positive regulation of nitric-oxide synthase activity (GO:0051000),0.289764635,1,0,0,2.955082742,3.660420477,SCARB1,3
6180,regulation of protein homodimerization activity (GO:0043496),0.289764635,1,0,0,2.955082742,3.660420477,ITGA4,3
6181,positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),0.289764635,0.999776154,0,0,2.955082742,3.660420477,CIB1,3
6182,G-protein coupled acetylcholine receptor signaling pathway (GO:0007213),0.289764635,0.999100629,0,0,2.955082742,3.660420477,PLCB1,3
6183,positive regulation of G1/S transition of mitotic cell cycle (GO:1900087),0.289764635,0.998426017,0,0,2.955082742,3.660420477,PLCB1,3
6184,artery development (GO:0060840),0.289764635,0.997752316,0,0,2.955082742,3.660420477,HES1,3
6185,regulation of acrosome reaction (GO:0060046),0.289764635,0.997079522,0,0,2.955082742,3.660420477,PLCB1,3
6186,embryonic heart tube development (GO:0035050),0.289764635,0.996407636,0,0,2.955082742,3.660420477,HES1,3
6187,mitochondrial fusion (GO:0008053),0.289764635,0.995736654,0,0,2.955082742,3.660420477,FIS1,3
6188,endoplasmic reticulum to cytosol transport (GO:1903513),0.289764635,0.995066576,0,0,2.955082742,3.660420477,SEC61B,3
6189,ruffle organization (GO:0031529),0.289764635,0.994397399,0,0,2.955082742,3.660420477,RAC1,3
6190,positive regulation of response to endoplasmic reticulum stress (GO:1905898),0.289764635,0.993729121,0,0,2.955082742,3.660420477,XBP1,3
6191,regulation of interferon-alpha production (GO:0032647),0.289764635,0.99306174,0,0,2.955082742,3.660420477,IRF5,3
6192,regulation of protein targeting to mitochondrion (GO:1903214),0.291079414,0.996898154,0,0,1.59375249,1.966944216,UBE2D3;RAC2;HES1,3
6193,positive regulation of protein complex assembly (GO:0031334),0.291079414,0.996229544,0,0,1.59375249,1.966944216,JUN;TGFB1;RPS3,3
6194,positive regulation of mitochondrion organization (GO:0010822),0.2912993,0.996313894,0,0,1.466087562,1.808278288,FIS1;UBE2D3;RAC2;HES1,3
6195,regulation of bone mineralization (GO:0030500),0.293469538,1,0,0,1.854169564,2.273177458,SRGN;TGFB1,3
6196,myeloid leukocyte differentiation (GO:0002573),0.293469538,1,0,0,1.854169564,2.273177458,SBNO2;PRTN3,3
6197,regulation of blood vessel endothelial cell migration (GO:0043535),0.293469538,1,0,0,1.854169564,2.273177458,TGFB1;THBS1,3
6198,regulation of canonical Wnt signaling pathway (GO:0060828),0.30019064,1,0,0,1.325644595,1.595197906,PTPRO;IGFBP6;RPS27A;UBA52;PFDN5;PSMA7,3
6199,generation of neurons (GO:0048699),0.300797064,1,0,0,1.443704546,1.734350346,DDIT4;HMGB2;ID3;IER2,3
6200,protein glycosylation (GO:0006486),0.300797064,1,0,0,1.443704546,1.734350346,C1GALT1C1;SERP1;ST3GAL4;GCNT2,3
6201,negative regulation of neuron projection development (GO:0010977),0.301314485,1,0,0,1.818512457,2.181488926,PTPRO;CIB1,3
6202,regulation of JNK cascade (GO:0046328),0.302647375,1,0,0,1.558724963,1.862967702,DUSP22;IL1B;PLCB1,3
6203,positive regulation of cholesterol transport (GO:0032376),0.304798117,1,0,0,2.781254346,3.304423959,SCP2,3
6204,positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261),0.304798117,1,0,0,2.781254346,3.304423959,SUB1,3
6205,reverse cholesterol transport (GO:0043691),0.304798117,1,0,0,2.781254346,3.304423959,SCARB1,3
6206,positive regulation of focal adhesion assembly (GO:0051894),0.304798117,1,0,0,2.781254346,3.304423959,RAC1,3
6207,negative regulation of axon guidance (GO:1902668),0.304798117,1,0,0,2.781254346,3.304423959,PTPRO,3
6208,sialylation (GO:0097503),0.304798117,1,0,0,2.781254346,3.304423959,ST3GAL4,3
6209,regulation of toll-like receptor 4 signaling pathway (GO:0034143),0.304798117,1,0,0,2.781254346,3.304423959,LYN,3
6210,positive regulation of G-protein coupled receptor protein signaling pathway (GO:0045745),0.304798117,1,0,0,2.781254346,3.304423959,C3,3
6211,regulation of insulin-like growth factor receptor signaling pathway (GO:0043567),0.304798117,1,0,0,2.781254346,3.304423959,IGFBP6,3
6212,positive regulation of nitrogen compound metabolic process (GO:0051173),0.304798117,1,0,0,2.781254346,3.304423959,KLF2,3
6213,positive regulation of interleukin-6 secretion (GO:2000778),0.304798117,1,0,0,2.781254346,3.304423959,XBP1,3
6214,RNA stabilization (GO:0043489),0.304798117,1,0,0,2.781254346,3.304423959,PABPC1,3
6215,positive regulation of striated muscle cell differentiation (GO:0051155),0.304798117,1,0,0,2.781254346,3.304423959,TGFB1,3
6216,negative regulation of cell development (GO:0010721),0.304798117,1,0,0,2.781254346,3.304423959,SORL1,3
6217,negative regulation of interleukin-8 production (GO:0032717),0.304798117,1,0,0,2.781254346,3.304423959,BCL3,3
6218,positive regulation of stem cell proliferation (GO:2000648),0.304798117,1,0,0,2.781254346,3.304423959,PTPRC,3
6219,negative regulation of phosphoprotein phosphatase activity (GO:0032515),0.304798117,1,0,0,2.781254346,3.304423959,IKBKB,3
6220,regulation of collagen biosynthetic process (GO:0032965),0.304798117,1,0,0,2.781254346,3.304423959,TGFB1,3
6221,pharyngeal system development (GO:0060037),0.304798117,1,0,0,2.781254346,3.304423959,HES1,3
6222,phospholipid catabolic process (GO:0009395),0.304798117,1,0,0,2.781254346,3.304423959,GPCPD1,3
6223,positive regulation of signal transduction by p53 class mediator (GO:1901798),0.304798117,1,0,0,2.781254346,3.304423959,RPS7,3
6224,positive regulation of macrophage activation (GO:0043032),0.304798117,1,0,0,2.781254346,3.304423959,THBS1,3
6225,long-term memory (GO:0007616),0.304798117,1,0,0,2.781254346,3.304423959,LDLR,3
6226,positive regulation by host of viral transcription (GO:0043923),0.304798117,1,0,0,2.781254346,3.304423959,JUN,3
6227,positive regulation of leukocyte activation (GO:0002696),0.304798117,1,0,0,2.781254346,3.304423959,THBS1,3
6228,platelet-derived growth factor receptor signaling pathway (GO:0048008),0.304798117,1,0,0,2.781254346,3.304423959,PTPN1,3
6229,positive regulation of transcription of Notch receptor target (GO:0007221),0.304798117,1,0,0,2.781254346,3.304423959,PBX1,3
6230,mitotic G2 DNA damage checkpoint (GO:0007095),0.304798117,1,0,0,2.781254346,3.304423959,NOP53,3
6231,positive regulation of programmed cell death (GO:0043068),0.30567081,1,0,0,1.282826617,1.52046581,JUN;RPS6;RACK1;IRF5;RAC1;RPS27A;UBA52,3
6232,negative regulation of kinase activity (GO:0033673),0.308439907,1,0,0,1.5417823,1.813487888,CEACAM1;PTPRC;PPP2R5A,3
6233,chemokine-mediated signaling pathway (GO:0070098),0.30914444,1,0,0,1.784200901,2.094556702,CIB1;CCR2,3
6234,regulation of calcium ion transport (GO:0051924),0.30914444,1,0,0,1.784200901,2.094556702,TSPAN13;ORAI1,3
6235,regulation of cell-matrix adhesion (GO:0001952),0.30914444,1,0,0,1.784200901,2.094556702,CIB1;THBS1,3
6236,positive regulation of cell-substrate adhesion (GO:0010811),0.30914444,1,0,0,1.784200901,2.094556702,CIB1;RAC1,3
6237,positive regulation of mitotic cell cycle (GO:0045931),0.30914444,1,0,0,1.784200901,2.094556702,IL1B;HES1,3
6238,central nervous system development (GO:0007417),0.314961805,1,0,0,1.301320841,1.503421046,LYN;VCAN;DDIT4;PPT1;RARA;JARID2,3
6239,positive regulation of cytosolic calcium ion concentration (GO:0007204),0.315107783,1,0,0,1.411382802,1.629922066,FIS1;CD52;FPR2;CCR2,3
6240,membrane protein ectodomain proteolysis (GO:0006509),0.319514122,1,0,0,2.626740215,2.996989245,PRTN3,3
6241,regulation of amyloid-beta formation (GO:1902003),0.319514122,1,0,0,2.626740215,2.996989245,SORL1,3
6242,cellular response to gamma radiation (GO:0071480),0.319514122,1,0,0,2.626740215,2.996989245,RPL26,3
6243,regulation of cellular response to transforming growth factor beta stimulus (GO:1903844),0.319514122,1,0,0,2.626740215,2.996989245,TGFB1,3
6244,regulation of keratinocyte proliferation (GO:0010837),0.319514122,1,0,0,2.626740215,2.996989245,ZFP36,3
6245,release of cytochrome c from mitochondria (GO:0001836),0.319514122,1,0,0,2.626740215,2.996989245,FIS1,3
6246,calcium-mediated signaling using intracellular calcium source (GO:0035584),0.319514122,1,0,0,2.626740215,2.996989245,FIS1,3
6247,positive regulation of lipid catabolic process (GO:0050996),0.319514122,1,0,0,2.626740215,2.996989245,IL1B,3
6248,endoplasmic reticulum calcium ion homeostasis (GO:0032469),0.319514122,1,0,0,2.626740215,2.996989245,FIS1,3
6249,maintenance of protein localization in organelle (GO:0072595),0.319514122,1,0,0,2.626740215,2.996989245,BCL3,3
6250,leukotriene biosynthetic process (GO:0019370),0.319514122,1,0,0,2.626740215,2.996989245,ALOX5AP,3
6251,positive regulation of cyclic nucleotide biosynthetic process (GO:0030804),0.319514122,1,0,0,2.626740215,2.996989245,RAMP1,3
6252,negative regulation of fibroblast proliferation (GO:0048147),0.319514122,1,0,0,2.626740215,2.996989245,CD300A,3
6253,anion homeostasis (GO:0055081),0.319514122,1,0,0,2.626740215,2.996989245,XBP1,3
6254,prostaglandin biosynthetic process (GO:0001516),0.319514122,1,0,0,2.626740215,2.996989245,MGST1,3
6255,modulation by virus of host morphology or physiology (GO:0019048),0.319514122,1,0,0,2.626740215,2.996989245,TGFB1,3
6256,negative regulation of microtubule depolymerization (GO:0007026),0.319514122,1,0,0,2.626740215,2.996989245,CIB1,3
6257,"retrograde protein transport, ER to cytosol (GO:0030970)",0.319514122,1,0,0,2.626740215,2.996989245,SEC61B,3
6258,positive regulation of actin cytoskeleton reorganization (GO:2000251),0.319514122,1,0,0,2.626740215,2.996989245,HCK,3
6259,DNA conformation change (GO:0071103),0.319514122,1,0,0,2.626740215,2.996989245,HMGB2,3
6260,blood vessel endothelial cell migration (GO:0043534),0.319514122,1,0,0,2.626740215,2.996989245,NR4A1,3
6261,DNA methylation (GO:0006306),0.319514122,1,0,0,2.626740215,2.996989245,FOS,3
6262,regulation of smooth muscle cell migration (GO:0014910),0.319514122,1,0,0,2.626740215,2.996989245,SORL1,3
6263,DNA ligation (GO:0006266),0.319514122,1,0,0,2.626740215,2.996989245,HMGB2,3
6264,cellular transition metal ion homeostasis (GO:0046916),0.320034989,1,0,0,1.508978422,1.719216765,LCN2;RPS27A;UBA52,3
6265,regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281),0.320034989,1,0,0,1.508978422,1.719216765,CDKN2D;FIS1;THBS1,3
6266,proteolysis involved in cellular protein catabolic process (GO:0051603),0.320034989,1,0,0,1.508978422,1.719216765,RPS27A;UBA52;PSMA7,3
6267,mitochondrial transport (GO:0006839),0.324681327,1,0,0,1.390627173,1.564331957,TIMM10B;FIS1;ATP5C1;SLC25A5,3
6268,protein targeting to mitochondrion (GO:0006626),0.324748028,1,0,0,1.719320868,1.933729975,TIMM10B;FIS1,3
6269,intracellular transport of virus (GO:0075733),0.324748028,1,0,0,1.719320868,1.933729975,RPS27A;UBA52,3
6270,transport of virus (GO:0046794),0.324748028,1,0,0,1.719320868,1.933729975,RPS27A;UBA52,3
6271,regulation of B cell activation (GO:0050864),0.331634303,1,0,0,1.477541371,1.63079553,AHR;SAMSN1;ZFP36L2,3
6272,positive regulation of cysteine-type endopeptidase activity (GO:2001056),0.332516298,1,0,0,1.68861871,1.859281329,FIS1;MEFV,3
6273,regulation of RNA splicing (GO:0043484),0.332516298,1,0,0,1.68861871,1.859281329,RPS26;RPS13,3
6274,negative regulation of cellular response to growth factor stimulus (GO:0090288),0.332516298,1,0,0,1.68861871,1.859281329,PTPN1;THBS1,3
6275,fat cell differentiation (GO:0045444),0.332516298,1,0,0,1.68861871,1.859281329,BSCL2;NR4A1,3
6276,positive regulation of transforming growth factor beta receptor signaling pathway (GO:0030511),0.33391934,1,0,0,2.48849073,2.729515521,THBS1,3
6277,regulation of protein kinase A signaling (GO:0010738),0.33391934,1,0,0,2.48849073,2.729515521,ADRB2,3
6278,organelle fusion (GO:0048284),0.33391934,1,0,0,2.48849073,2.729515521,FIS1,3
6279,acetylcholine receptor signaling pathway (GO:0095500),0.33391934,1,0,0,2.48849073,2.729515521,PLCB1,3
6280,positive regulation of STAT cascade (GO:1904894),0.33391934,1,0,0,2.48849073,2.729515521,HES1,3
6281,protein exit from endoplasmic reticulum (GO:0032527),0.33391934,1,0,0,2.48849073,2.729515521,SEC61B,3
6282,positive regulation of activated T cell proliferation (GO:0042104),0.33391934,1,0,0,2.48849073,2.729515521,RPS3,3
6283,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)",0.33391934,1,0,0,2.48849073,2.729515521,RPSA,3
6284,regulation of myotube differentiation (GO:0010830),0.33391934,1,0,0,2.48849073,2.729515521,XBP1,3
6285,positive regulation of toll-like receptor signaling pathway (GO:0034123),0.33391934,1,0,0,2.48849073,2.729515521,FLOT1,3
6286,regulation of mitochondrial fission (GO:0090140),0.33391934,1,0,0,2.48849073,2.729515521,FIS1,3
6287,osteoclast differentiation (GO:0030316),0.33391934,1,0,0,2.48849073,2.729515521,SBNO2,3
6288,nucleosome disassembly (GO:0006337),0.33391934,1,0,0,2.48849073,2.729515521,NFE2,3
6289,regulation of transcription factor import into nucleus (GO:0042990),0.33391934,1,0,0,2.48849073,2.729515521,BCL3,3
6290,chromatin disassembly (GO:0031498),0.33391934,1,0,0,2.48849073,2.729515521,NFE2,3
6291,leukotriene metabolic process (GO:0006691),0.33391934,1,0,0,2.48849073,2.729515521,ALOX5AP,3
6292,striated muscle cell differentiation (GO:0051146),0.33391934,1,0,0,2.48849073,2.729515521,KDM6B,3
6293,fatty-acyl-CoA metabolic process (GO:0035337),0.33391934,1,0,0,2.48849073,2.729515521,PPT1,3
6294,positive regulation of immunoglobulin production (GO:0002639),0.33391934,1,0,0,2.48849073,2.729515521,XBP1,3
6295,positive regulation of blood coagulation (GO:0030194),0.33391934,1,0,0,2.48849073,2.729515521,THBS1,3
6296,positive regulation of adherens junction organization (GO:1903393),0.33391934,1,0,0,2.48849073,2.729515521,RAC1,3
6297,positive regulation of epithelial cell differentiation (GO:0030858),0.33391934,1,0,0,2.48849073,2.729515521,BTG1,3
6298,innate immune response in mucosa (GO:0002227),0.33391934,1,0,0,2.48849073,2.729515521,RPL39,3
6299,mitochondrial calcium ion homeostasis (GO:0051560),0.33391934,1,0,0,2.48849073,2.729515521,FIS1,3
6300,regulation of cAMP biosynthetic process (GO:0030817),0.33391934,1,0,0,2.48849073,2.729515521,RAMP1,3
6301,positive regulation of transcription regulatory region DNA binding (GO:2000679),0.33391934,1,0,0,2.48849073,2.729515521,TGFB1,3
6302,positive regulation of cellular response to transforming growth factor beta stimulus (GO:1903846),0.33391934,1,0,0,2.48849073,2.729515521,THBS1,3
6303,regulation of cytosolic calcium ion concentration (GO:0051480),0.334273793,1,0,0,1.370473156,1.50175747,FIS1;CD52;FPR2;CCR2,3
6304,Ras protein signal transduction (GO:0007265),0.337321955,1,0,0,1.266464032,1.376288561,RAP1B;JUN;RAP1A;RAC2;RAC1;RASGRP2,3
6305,positive regulation of protein metabolic process (GO:0051247),0.337432232,1,0,0,1.462308986,1.588638712,TGFB1;SORL1;KLF2,3
6306,protein localization to nucleus (GO:0034504),0.337432232,1,0,0,1.462308986,1.588638712,BCL3;RPL11;NOP53,3
6307,epithelial cell differentiation (GO:0030855),0.337432232,1,0,0,1.462308986,1.588638712,KDM6B;CASP6;RARA,3
6308,positive regulation of protein transport (GO:0051222),0.340258847,1,0,0,1.65899382,1.788476025,TGFB1;RACK1,3
6309,autophagosome organization (GO:1905037),0.340258847,1,0,0,1.65899382,1.788476025,ATG3;ATG101,3
6310,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),0.343227297,1,0,0,1.447387466,1.547781702,FCER1G;AP1S2;AP2A2,3
6311,antigen processing and presentation of exogenous peptide antigen (GO:0002478),0.343227297,1,0,0,1.447387466,1.547781702,FCER1G;AP1S2;AP2A2,3
6312,positive regulation of cell death (GO:0010942),0.347973291,1,0,0,1.630390479,1.721088371,DDIT4;FOS,3
6313,regulation of Rho protein signal transduction (GO:0035023),0.347973291,1,0,0,1.630390479,1.721088371,ARHGDIB;RAC1,3
6314,regulation of neurogenesis (GO:0050767),0.347973291,1,0,0,1.630390479,1.721088371,HMGB2;SORL1,3
6315,vacuolar acidification (GO:0007035),0.348020319,1,0,0,2.364066194,2.495258661,PPT1,3
6316,negative regulation of innate immune response (GO:0045824),0.348020319,1,0,0,2.364066194,2.495258661,RPS19,3
6317,Golgi to endosome transport (GO:0006895),0.348020319,1,0,0,2.364066194,2.495258661,SYS1,3
6318,mesoderm formation (GO:0001707),0.348020319,1,0,0,2.364066194,2.495258661,KDM6B,3
6319,hydrogen peroxide metabolic process (GO:0042743),0.348020319,1,0,0,2.364066194,2.495258661,PRDX5,3
6320,negative regulation of intracellular protein transport (GO:0090317),0.348020319,1,0,0,2.364066194,2.495258661,SP100,3
6321,negative regulation of phosphate metabolic process (GO:0045936),0.348020319,1,0,0,2.364066194,2.495258661,CDKN2D,3
6322,regulation of epidermal cell differentiation (GO:0045604),0.348020319,1,0,0,2.364066194,2.495258661,ZFP36,3
6323,negative regulation of macromolecule biosynthetic process (GO:0010558),0.348020319,1,0,0,2.364066194,2.495258661,TGFB1,3
6324,"wound healing, spreading of cells (GO:0044319)",0.348020319,1,0,0,2.364066194,2.495258661,CEACAM1,3
6325,regulation of lipoprotein lipase activity (GO:0051004),0.348020319,1,0,0,2.364066194,2.495258661,APOC1,3
6326,negative regulation of cyclase activity (GO:0031280),0.348020319,1,0,0,2.364066194,2.495258661,CCR2,3
6327,regulation of cholesterol transport (GO:0032374),0.348020319,1,0,0,2.364066194,2.495258661,APOC1,3
6328,regulation of calcium ion transmembrane transport (GO:1903169),0.348020319,1,0,0,2.364066194,2.495258661,TSPAN13,3
6329,adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880),0.348020319,1,0,0,2.364066194,2.495258661,ADRB2,3
6330,negative regulation of response to biotic stimulus (GO:0002832),0.348020319,1,0,0,2.364066194,2.495258661,PCBP2,3
6331,autophagy of nucleus (GO:0044804),0.348020319,1,0,0,2.364066194,2.495258661,ATG3,3
6332,negative regulation of protein depolymerization (GO:1901880),0.348020319,1,0,0,2.364066194,2.495258661,CIB1,3
6333,positive regulation of interferon-alpha production (GO:0032727),0.348020319,1,0,0,2.364066194,2.495258661,IRF5,3
6334,positive regulation of T cell migration (GO:2000406),0.348020319,1,0,0,2.364066194,2.495258661,CCR2,3
6335,adrenergic receptor signaling pathway (GO:0071875),0.348020319,1,0,0,2.364066194,2.495258661,ADRB2,3
6336,regulation of fibroblast growth factor receptor signaling pathway (GO:0040036),0.348020319,1,0,0,2.364066194,2.495258661,THBS1,3
6337,negative regulation of adenylate cyclase activity (GO:0007194),0.348020319,1,0,0,2.364066194,2.495258661,CCR2,3
6338,negative regulation of interferon-gamma production (GO:0032689),0.348020319,1,0,0,2.364066194,2.495258661,RARA,3
6339,chondroitin sulfate biosynthetic process (GO:0030206),0.348020319,1,0,0,2.364066194,2.495258661,VCAN,3
6340,cellular response to estradiol stimulus (GO:0071392),0.348020319,1,0,0,2.364066194,2.495258661,H2AFZ,3
6341,positive regulation of cAMP biosynthetic process (GO:0030819),0.348020319,1,0,0,2.364066194,2.495258661,RAMP1,3
6342,regulation of insulin secretion (GO:0050796),0.349018249,1,0,0,1.43276739,1.508175468,RAP1A;IL1B;SLC25A5,3
6343,response to UV (GO:0009411),0.349018249,1,0,0,1.43276739,1.508175468,CDKN2D;BCL3;RPL26,3
6344,DNA metabolic process (GO:0006259),0.350126775,1,0,0,1.200795527,1.260186845,FAM111A;BTG2;SP100;RPS3;HMGB2;RPS27A;UBA52;NOP53,3
6345,modification-dependent protein catabolic process (GO:0019941),0.353490505,1,0,0,1.331868278,1.385008028,XBP1;UBE2D3;RPS27A;UBA52,3
6346,regulation of mitotic cell cycle phase transition (GO:1901990),0.353830108,1,0,0,1.277873618,1.327631975,PTPN6;RPS27A;UBA52;ZFP36L2;PSMA7,3
6347,regulation of gene expression (GO:0010468),0.355540729,1,0,0,1.093209801,1.130505166,RPL5;CEBPB;SP100;BTG1;TGFB1;RPS7;TSC22D3;RPL11;HMGB2;AHR;RPL6;SAP30;LYL1;SBNO2;NFIL3;IL1B;RACK1;RPS3;GCNT2;XDH;PFDN5;HSPA1B;MYD88;HSPA1A,3
6348,autophagosome assembly (GO:0000045),0.355657357,1,0,0,1.602756742,1.656909871,ATG3;ATG101,3
6349,positive regulation of cell morphogenesis involved in differentiation (GO:0010770),0.355657357,1,0,0,1.602756742,1.656909871,CIB1;RAC1,3
6350,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),0.358296879,1,0,0,1.322554514,1.357461177,CEACAM1;SELL;ITGAL;CD177,3
6351,regulation of lipid metabolic process (GO:0019216),0.360582959,1,0,0,1.404395759,1.432530336,IL1B;APOC1;ADIPOR1,3
6352,positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus (GO:1901522),0.361823469,1,0,0,2.251491613,2.288863764,XBP1,3
6353,cortical actin cytoskeleton organization (GO:0030866),0.361823469,1,0,0,2.251491613,2.288863764,IKBKB,3
6354,mesoderm development (GO:0007498),0.361823469,1,0,0,2.251491613,2.288863764,HCK,3
6355,cellular protein complex localization (GO:0034629),0.361823469,1,0,0,2.251491613,2.288863764,STXBP6,3
6356,ventricular cardiac muscle tissue development (GO:0003229),0.361823469,1,0,0,2.251491613,2.288863764,TGFB1,3
6357,mitochondrial fission (GO:0000266),0.361823469,1,0,0,2.251491613,2.288863764,FIS1,3
6358,positive regulation of histone acetylation (GO:0035066),0.361823469,1,0,0,2.251491613,2.288863764,IL1B,3
6359,regulation of macrophage activation (GO:0043030),0.361823469,1,0,0,2.251491613,2.288863764,THBS1,3
6360,mitochondrial ATP synthesis coupled proton transport (GO:0042776),0.361823469,1,0,0,2.251491613,2.288863764,ATP5C1,3
6361,ventricular septum morphogenesis (GO:0060412),0.361823469,1,0,0,2.251491613,2.288863764,HES1,3
6362,protein-DNA complex disassembly (GO:0032986),0.361823469,1,0,0,2.251491613,2.288863764,NFE2,3
6363,cellular response to alkaloid (GO:0071312),0.361823469,1,0,0,2.251491613,2.288863764,CASP6,3
6364,negative regulation of cAMP biosynthetic process (GO:0030818),0.361823469,1,0,0,2.251491613,2.288863764,CCR2,3
6365,positive regulation of lipid metabolic process (GO:0045834),0.361823469,1,0,0,2.251491613,2.288863764,IL1B,3
6366,lipid catabolic process (GO:0016042),0.361823469,1,0,0,2.251491613,2.288863764,PPT1,3
6367,ERK1 and ERK2 cascade (GO:0070371),0.361823469,1,0,0,2.251491613,2.288863764,ZFP36L2,3
6368,regulation of protein metabolic process (GO:0051246),0.363308882,1,0,0,1.576044129,1.595747662,LDLR;KLF2,3
6369,cell junction assembly (GO:0034329),0.363308882,1,0,0,1.576044129,1.595747662,TLN1;ACTG1,3
6370,regulation of extrinsic apoptotic signaling pathway (GO:2001236),0.363308882,1,0,0,1.576044129,1.595747662,SP100;THBS1,3
6371,cellular protein complex assembly (GO:0043623),0.367907112,1,0,0,1.304312383,1.304214278,TGFB1;ADRB2;HOPX;HSPA1A,3
6372,neuron development (GO:0048666),0.367907112,1,0,0,1.304312383,1.304214278,LYN;XBP1;BTG2;PPT1,3
6373,nucleosome assembly (GO:0006334),0.370925807,1,0,0,1.55020734,1.537423119,H3F3A;HMGB2,3
6374,positive regulation of protein binding (GO:0032092),0.370925807,1,0,0,1.55020734,1.537423119,RPL11;FLOT1,3
6375,acylglycerol homeostasis (GO:0055090),0.375335067,1,0,0,2.149151085,2.106030821,SCARB1,3
6376,glutathione derivative biosynthetic process (GO:1901687),0.375335067,1,0,0,2.149151085,2.106030821,MGST1,3
6377,sterol transport (GO:0015918),0.375335067,1,0,0,2.149151085,2.106030821,LDLR,3
6378,lymphocyte activation involved in immune response (GO:0002285),0.375335067,1,0,0,2.149151085,2.106030821,CD244,3
6379,activation of phospholipase C activity (GO:0007202),0.375335067,1,0,0,2.149151085,2.106030821,RASGRP4,3
6380,negative regulation of cell cycle G1/S phase transition (GO:1902807),0.375335067,1,0,0,2.149151085,2.106030821,CDK2AP2,3
6381,regulation of transcription from RNA polymerase III promoter (GO:0006359),0.375335067,1,0,0,2.149151085,2.106030821,PRDX5,3
6382,"DNA catabolic process, endonucleolytic (GO:0000737)",0.375335067,1,0,0,2.149151085,2.106030821,HMGB2,3
6383,negative regulation of actin filament polymerization (GO:0030837),0.375335067,1,0,0,2.149151085,2.106030821,TMSB10,3
